class,v1_mfcc1,v1_mfcc2,v1_mfcc3,v1_mfcc4,v1_mfcc5,v1_mfcc6,v1_mfcc7,v1_mfcc8,v1_mfcc9,v1_mfcc10,v1_mfcc11,v1_mfcc12,v1_mfcc13,v1_mfcc14,v1_mfcc15,v1_mfcc16,v1_mfcc17,v1_mfcc18,v1_mfcc19,v1_mfcc20,v1_mfcc21,v1_mfcc22,v1_mfcc23,v1_mfcc24,v1_mfcc25,v1_mfcc26,v1_mfcc27,v1_mfcc28,v1_mfcc29,v1_mfcc30,v1_mfcc31,v1_mfcc32,v1_mfcc33,v1_mfcc34,v1_mfcc35,v1_mfcc36,v2_meanX,v2_meanY,v2_meanZ,v2_sdX,v2_sdY,v2_sdZ,v2_maxX,v2_maxY,v2_maxZ,v2_corXY,v2_corXZ,v2_corYZ,v2_meanMagnitude,v2_sdMagnitude,v2_auc,v2_meanDif
watch_tv,120.0788862,3.025170556,0.39050752,-1.777848128,-9.216060492,-6.567632347,-9.918761393,-9.145534459,-4.625030001,-4.467651363,3.592111075,2.404906601,137.8763587,3.996502006,-8.107037313,-2.769352391,-5.439697281,-4.90427583,-5.325294108,0.005380584,-4.778602331,6.14267104,-4.033695902,-4.670249234,126.91829,-0.552026155,-6.034125728,-6.266050761,-6.060272907,-5.377615352,-6.921460942,-6.91132348,-5.35189602,-3.981845854,-3.902461838,2.065051641,-0.340983072,0.845370531,-0.162049225,0.318284946,0.23865211,0.143451481,0.09741211,1.0881348,0.22705078,0.900163197,-0.729510579,-0.863477974,1.014804977,0.060424471,70.02154339,-0.000363964
watch_tv,130.2431392,2.552277722,-6.457879118,-7.440159047,-3.070106258,-3.475475662,-5.71881899,-2.878174441,-0.894521818,-5.612759047,-6.880292002,0.170043315,121.6936867,1.657663248,-10.63920047,-10.72076384,-2.924428734,-4.995551199,-9.130596684,-6.325587465,-2.743647132,-0.308406594,1.671808231,-0.079889763,123.2679548,2.086549611,-5.766956222,-9.759484244,-2.094285024,-2.320662828,-5.043436099,-6.264447977,-2.832964498,-6.5017496,-4.000334689,-2.810889809,0.282257467,0.877509398,0.120324243,0.198215575,0.257069487,0.265057446,0.7036133,1.4248047,0.81811523,-0.210430977,0.319598626,-0.722540793,1.005712693,0.162644398,79.45130276,-0.006234123
watch_tv,122.2592089,1.97026685,-8.980575385,-10.22203035,-3.5649937,-2.496906088,-5.584899941,-6.730588193,-4.079890392,-8.987598548,-0.091070691,-0.55150677,123.4447873,1.769187859,-8.907238223,-9.316098044,0.040995126,-0.646261797,-6.965771903,-10.6875796,-6.547374176,-6.689493443,-0.596485894,0.216512952,121.3065875,2.955387098,-10.16406767,-10.65474378,0.088087085,-0.292559519,-2.873276828,-7.47376783,-9.424622581,-5.536640607,0.530729968,-0.602268512,0.3065677,0.951606256,-0.0778872,0.002798543,0.006286154,0.003468528,0.3125,0.97265625,-0.0703125,-0.018861648,-0.093852395,-0.305721937,1.002809311,0.006100301,77.21631693,1.91170899521784e-05
watch_tv,122.6095661,3.188740044,-7.049396875,-10.56987485,-0.220824225,-0.64945927,-4.975825231,-6.856287743,-5.524964007,-6.551748961,-1.454954253,-1.005316137,121.9748287,-0.109167611,-7.875944324,-9.608709344,-0.622967806,-1.74833128,-7.847904854,-6.810531355,-7.625970756,-6.54634102,2.624140205,1.838572246,122.8036173,1.404395936,-7.365646317,-10.82492584,-2.472622338,-3.823090023,-6.377873807,-8.157766533,-5.855363175,-8.531418128,1.65821573,4.538202921,0.314863281,0.948603514,-0.081074219,0.011553948,0.020334078,0.010644322,0.34985352,1.0200195,-0.053222656,0.492438636,0.273063653,-0.023050742,1.002878209,0.021292026,75.21586565,-2.33E-05
watch_tv,121.3930226,1.338798198,-8.706182984,-8.654996764,-4.935310472,-3.401655755,-5.031361199,-7.957923582,-8.613957317,-3.088170054,6.105759063,1.639037325,122.134078,1.420319219,-8.392837568,-9.416159169,0.910150797,-3.282904308,-5.023626448,-7.51169163,-5.959927628,-5.983109149,0.15611111,1.469911307,128.0345792,1.151162821,-11.61233054,-11.07427269,-7.945120149,-10.43494603,-1.270525138,1.7514247,-8.497200892,-7.670857641,-0.669723291,-4.650466391,0.318503797,0.947853625,-0.08353048,0.001888662,0.003040525,0.00368882,0.32226563,0.9550781,-0.0769043,-0.226296076,-0.217439185,-0.053895332,1.003427402,0.002848578,71.24334551,-8.34E-05
watch_tv,123.5259076,3.397568733,-5.723492893,-11.77038851,-3.87066464,-6.780238694,-8.091706021,-8.101166122,-8.105866765,-6.051152773,1.096128081,2.781718667,122.8173705,0.653467465,-8.008563453,-10.1540769,-7.675357221,-4.916286192,-3.242267504,-5.897703477,-5.679578312,-5.64248135,0.518456133,-0.846019775,118.0208918,1.657412823,-2.406316924,-7.759232796,-3.60378894,-1.27059688,-1.444105752,-2.862790975,-2.945936793,-3.895698836,3.296981426,3.580384949,0.320345295,0.946070429,-0.087478866,0.001427306,0.002959174,0.002208011,0.32421875,0.9555664,-0.08227539,-0.479371925,-0.176859033,-0.33293978,1.002662082,0.002684677,67.17835951,-6.21E-06
watch_tv,117.8884398,1.604134483,-5.032307622,-7.854397442,-8.681129857,-6.231223522,-1.861366669,-2.900546128,-1.596541993,-2.760913379,3.648456615,7.877037059,114.893133,-0.427153068,-7.375440975,-6.682570468,-7.932738286,-3.2296736,-5.853004025,-4.345297331,-2.475265498,-1.213143112,3.129056826,7.096743343,120.9719557,4.207365966,-7.847734419,-9.913156405,-7.994552225,-7.057499654,-2.442042492,0.116425653,-0.933503676,-1.775478001,6.229329726,2.327129305,0.318316749,0.945653523,-0.086162264,0.013194129,0.014521453,0.00781106,0.33911133,1.0151367,-0.045166016,-0.439711981,-0.407848575,-0.275235188,1.001640421,0.012965428,63.10334651,-5.89E-05
watch_tv,122.1688253,0.593957834,-5.274479671,-5.728786201,-5.21913304,-6.206434815,-3.113384117,0.80905461,-2.908185783,-1.097691474,6.025515023,5.350110787,120.526158,4.715923061,-3.111095848,-5.079025236,-3.374812329,-4.852089529,-2.93242971,-5.915572161,-4.065756098,-2.75632496,3.541883401,2.978738855,122.9479533,3.608873648,-9.232309658,-4.485944125,-7.687111111,-12.03399697,-0.374748002,2.07380355,-4.536547706,-2.155076677,8.648579648,4.411853469,0.319698557,0.946088005,-0.089377011,0.002200499,0.004792138,0.003432445,0.3251953,0.95874023,-0.076416016,0.169922478,-0.270438705,-0.608500734,1.002643206,0.004887782,68.17973801,0.000182051
watch_tv,118.2549665,0.499331361,-9.609474807,-6.214989237,-6.688049952,-7.304319235,-8.872826167,-6.777118442,-2.214203278,-2.118152328,2.183895978,8.532403516,120.4887042,2.326969119,-8.298775854,-9.247711869,-8.839203759,-7.854471931,-5.06853413,-4.622306353,-3.778254077,-1.192173859,4.826708538,-0.413910794,121.2739344,5.635792273,-4.161502913,-6.234769425,-6.140382015,-4.074547773,-5.936877538,-5.212232876,-3.375813927,-3.868580999,-0.925317967,2.440299747,0.319274089,0.946835937,-0.090003255,0.001614511,0.002776051,0.001955801,0.32226563,0.9536133,-0.08569336,-0.064416701,0.07667468,-0.407708408,1.00326543,0.002710264,75.24490729,4.87095192738677e-05
watch_tv,119.5016774,4.678976803,-4.278119857,-7.039575625,-6.292795417,-6.206909898,-6.840628922,-7.251290824,-6.527930903,-5.167217538,-1.180868445,1.910757528,117.6899857,3.079620299,-3.271562981,-3.80175122,-5.149718698,-2.01584755,-2.541149718,-5.104145714,-4.52865944,-3.137939562,2.289411371,7.903626153,124.4304876,3.460787256,-15.38655663,-10.82615498,-9.738736169,-14.29938343,-5.050629556,2.442854094,-3.963269196,-6.106622759,3.660800405,8.382727952,0.320205078,0.945882163,-0.078492839,0.006596836,0.008954061,0.008418655,0.3388672,0.9758301,-0.030273438,0.49399815,-0.755290048,-0.700786511,1.00173702,0.010087488,75.13027646,1.79278775694206e-05
